,visit_id,hostname_site,total_requests,no_blocked_requests,no_third_party_requests,blocked_urls
0,1,https://www.ebay.com/,126,4,104,"['https://www.ebay.com/scl/js/ScandalLoader.js', 'https://ir.ebaystatic.com/cr/v/c1/sc/ScandalJS-2.1.4.min.js', 'https://srv.main.ebayrtm.com/rtm?RtmCmd&a=json&uf=0&g=b8effcdb16e0aa169c408606fff6bb51&cg=0&c=1H4sIAAAAAAAAAyVPTU%2FDMAy991dY4rIdmthx06aZct0ujAsgcUBCoxQtYixV2daOX4%2FDJFvPn8%2FPd%2BsxwkO6gGnBILVA7K3xlYXN9qnEBhEWt8gjLouBXR2wGIzlcJWMMWzTbzwcdtoqGX0hWsF9PJ5nmF39VlcrGC%2B%2BbhUuYdN3X0nLERQjWMex%2F0yzzs1iIJNpK6ZAGcwNOPTH8vkxh5X0u%2FgR2L2eURhEg9RKQXIcDDtE2%2BREGAxi1mbC%2FnQafrzW0zSp%2Fn13VV361vmJ5n%2BT5VxDShRQ9rb4A2vga1AOAQAA&p=1650&di=1650&v=4&enc=UTF-8&cb=window.HL_AD_TRACKING_CALLBACK', 'https://srv.main.ebayrtm.com/rtm?RtmCmd&a=json&uf=0&g=b8effcdb16e0aa169c408606fff6bb51&cg=0&c=1H4sIAAAAAAAAAyVPTU%2FDMAy991dY4rIdmthx06aZct0ujAsgcUBCoxQtYixV2daOX4%2FDJFvPn8%2FPd%2BsxwkO6gGnBILVA7K3xlYXN9qnEBhEWt8gjLouBXR2wGIzlcJWMMWzTbzwcdtoqGX0hWsF9PJ5nmF39VlcrGC%2B%2BbhUuYdN3X0nLERQjWMex%2F0yzzs1iIJNpK6ZAGcwNOPTH8vkxh5X0u%2FgR2L2eURhEg9RKQXIcDDtE2%2BREGAxi1mbC%2FnQafrzW0zSp%2Fn13VV361vmJ5n%2BT5VxDShRQ9rb4A2vga1AOAQAA&p=19392:19393:19394:19395:19396:19397:19398:19399:19400:19401:20858&di=19392:19393:19394:19395:19396:19397:19398:19399:19400:19401:20858&v=4&enc=UTF-8&cb=window.HL_CAT_NAV_RTM_CALLBACK']"
1,2,https://www.aliexpress.com/,87,0,69,[]
2,3,https://www.amazon.com/,10,0,6,[]
3,4,https://world.taobao.com/,349,3,89,"['https://www.google.com/pagead/conversion_async.js', 'https://googleads.g.doubleclick.net/pagead/viewthroughconversion/968167707/?random=1575060859336&cv=9&fst=1575060859336&num=1&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&u_h=600&u_w=800&u_ah=576&u_aw=735&u_cd=24&u_his=1&u_tz=-300&u_java=false&u_nplug=0&u_nmime=0&gtm=2oaav9&sendb=1&ig=0&data=event%3Dgtag.config&frm=0&url=https%3A%2F%2Fworld.taobao.com%2F&tiba=%E6%B7%98%E5%AE%9D%E7%BD%91(%E6%B7%98%E5%AF%B6%E7%B6%B2)&hn=www.google.com&async=1&rfmt=3&fmt=4', 'https://www.google.com/pagead/1p-user-list/968167707/?random=1575060859336&cv=9&fst=1575057600000&num=1&bg=ffffff&guid=ON&u_h=600&u_w=800&u_ah=576&u_aw=735&u_cd=24&u_his=1&u_tz=-300&u_java=false&u_nplug=0&u_nmime=0&gtm=2oaav9&sendb=1&data=event%3Dgtag.config&frm=0&url=https%3A%2F%2Fworld.taobao.com%2F&tiba=%E6%B7%98%E5%AE%9D%E7%BD%91(%E6%B7%98%E5%AF%B6%E7%B6%B2)&async=1&fmt=3&is_vtc=1&random=402925686&resp=GooglemKTybQhCsO&rmt_tld=0&ipr=y']"
4,5,https://www.rakuten.com/,96,9,71,"['https://jadserve.postrelease.com/conversion?ntv_pixel_id=a34d5c041733462681315a45cbc1df09&ntv_pixel_value=', 'https://jadserve.postrelease.com/rt.gif?ntv_tg=CQAAAEAAAABU0YAQ%3D%3D', 'https://static.ads-twitter.com/uwt.js', 'https://srv.clickfuse.com/showads/track/cvn.php?id=32', 'https://www.googleadservices.com/pagead/conversion.js', 'https://www.googleadservices.com/pagead/conversion.js', 'https://securepubads.g.doubleclick.net/tag/js/gpt.js', 'https://stats.g.doubleclick.net/j/collect?t=dc&aip=1&_r=3&v=1&_v=j79&tid=UA-37143517-1&cid=1138570474.1575060843&jid=534913006&gjid=963129377&_gid=1028753196.1575060843&_u=aGDAAIAjAAQCAC~&z=846127328', 'https://googleads.g.doubleclick.net/pagead/viewthroughconversion/992527088/?random=1575060851243&cv=9&fst=1575060851243&num=1&guid=ON&resp=GooglemKTybQhCsO&u_h=768&u_w=1366&u_ah=768&u_aw=1366&u_cd=24&u_his=1&u_tz=-300&u_java=false&u_nplug=0&u_nmime=0&sendb=1&ig=1&data=dynx_pagetype%3Dhome%3Bdynx_itemid%3D1111%3Bdynx_totalvalue%3D1111%3Becomm_prodid%3D1111%3Becomm_pagetype%3Dhome%3Becomm_totalvalue%3D1111&frm=0&url=https%3A%2F%2Fwww.rakuten.com%2F&tiba=Shop.%20Earn.%20Get%20Cash%20Back.%20%7C%20Rakuten&hn=www.googleadservices.com&rfmt=3&fmt=4']"
5,6,https://www.tmall.com/,94,0,79,[]
6,7,https://www.flipkart.com/,73,3,55,"['https://www.google.com/pagead/1p-user-list/1011966879/?guid=ON&script=0&is_vtc=1&random=2763833383', 'https://www.google.com/pagead/1p-user-list/1008984980/?value=0&label=eJWICIydxgMQlMeP4QM&guid=ON&script=0&is_vtc=1&random=3820246085', 'https://www.google.com/pagead/1p-user-list/1017598645/?value=0&label=5BlXCLOpwQMQtaWd5QM&guid=ON&script=0&is_vtc=1&random=347548554']"
7,8,https://www.walmart.com/,117,19,102,"['https://securepubads.g.doubleclick.net/gpt/pubads_impl_2019111801.js', 'https://securepubads.g.doubleclick.net/gampad/ads?gdfp_req=1&pvsid=1595723097655341&correlator=762302473104449&output=ldjh&impl=fifs&adsid=NT&eid=21062414%2C21062819&vrg=2019111801&guci=2.2.0.0.2.2.0.0&plat=1%3A537919496%2C2%3A537919496%2C8%3A8&sc=1&sfv=1-0-36&ecs=20191129&iu_parts=55875582%2CWMUS-Mobile%2Chomepage&enc_prev_ius=%2F0%2F1%2F2%2C%2F0%2F1%2F2&prev_iu_szs=320x50%2C320x50&fluid=height%2Cheight&prev_scp=location%3Dtwocolumnhp%26newyork%3Dy%26adUuid%3Dsponsored-container-full-2-gpt-4cba4f73-6de3-489b-809e-013061383300%26zipCode%3D27606%7Clocation%3Dhppov4short%26t_version%3Dv2%26multilink%3Dy%26newyork%3Dy%26adUuid%3Dsponsored-container-pov-4-gpt-dece77e2-c0f0-46ce-9a6c-98c2f930ab2d%26zipCode%3D27606&eri=1&cust_params=pageViewId%3Ddfd8e118-656d-4b4d-9be2-c050a0957c2d%26vtc%3DStTl_AEgbfcKEYhCKWa8xk%26vtcBucket%3D0%26login%3Dno%26ptype%3Dhomepage%26ScreenType%3DTablet&cookie_enabled=1&uule=a%20cm9sZToxIHByb2R1Y2VyOjEyIGxvYzoiMjc2MDYi&bc=29&abxe=1&lmt=1575060897&dt=1575060927671&dlt=1575060897590&idt=27702&frm=20&biw=725&bih=502&oid=3&adxs=8%2C-12245933&adys=3238%2C-12245933&adks=1487345317%2C713908691&ucis=1%7C2&ifi=1&u_tz=-300&u_his=1&u_h=600&u_w=800&u_ah=576&u_aw=735&u_cd=24&u_sd=1&flash=0&url=https%3A%2F%2Fwww.walmart.com%2F&dssz=37&icsg=144703488&std=54&vis=1&scr_x=0&scr_y=0&psz=709x0%7C0x0&msz=709x0%7C0x0&ga_vid=2005737206.1575060929&ga_sid=1575060929&ga_hid=1795596066&fws=0%2C128&ohw=0%2C0', 'https://securepubads.g.doubleclick.net/gpt/pubads_impl_rendering_2019111801.js', 'https://securepubads.g.doubleclick.net/gampad/ads?gdfp_req=1&pvsid=1595723097655341&correlator=3477720289435852&output=ldjh&impl=fifs&adsid=NT&eid=21062414%2C21062819&vrg=2019111801&guci=2.2.0.0.2.2.0.0&plat=1%3A537919496%2C2%3A537919496%2C8%3A8&sc=1&sfv=1-0-36&ecs=20191129&iu_parts=55875582%2CWMUS-Mobile%2Chomepage&enc_prev_ius=%2F0%2F1%2F2&prev_iu_szs=320x50&fluid=height&prev_scp=location%3Dhppov2short%26t_version%3Dv2%26multilink%3Dy%26newyork%3Dy%26adUuid%3Dsponsored-container-pov-2-gpt-7e348073-26c8-4871-a66b-75cfce863e9d%26zipCode%3D27606&eri=1&cust_params=pageViewId%3Ddfd8e118-656d-4b4d-9be2-c050a0957c2d%26vtc%3DStTl_AEgbfcKEYhCKWa8xk%26vtcBucket%3D0%26login%3Dno%26ptype%3Dhomepage%26ScreenType%3DTablet&cookie_enabled=1&uule=a%20cm9sZToxIHByb2R1Y2VyOjEyIGxvYzoiMjc2MDYi&bc=29&abxe=1&lmt=1575060897&dt=1575060931340&dlt=1575060897590&idt=27702&frm=20&biw=725&bih=502&oid=3&adxs=-12245933&adys=-12245933&adks=295164416&ucis=3&ifi=2&u_tz=-300&u_his=1&u_h=600&u_w=800&u_ah=576&u_aw=735&u_cd=24&u_sd=1&flash=0&url=https%3A%2F%2Fwww.walmart.com%2F&dssz=38&icsg=34504441856&std=45&vis=1&scr_x=0&scr_y=0&psz=0x0&msz=0x0&ga_vid=2005737206.1575060929&ga_sid=1575060929&ga_hid=1795596066&fws=128&ohw=0', 'https://tpc.googlesyndication.com/safeframe/1-0-36/html/container.html', 'https://tpc.googlesyndication.com/safeframe/1-0-36/html/container.html', 'https://tpc.googlesyndication.com/safeframe/1-0-36/js/ext.js', 'https://tpc.googlesyndication.com/pagead/js/r20191114/r20110914/client/error_handler.js', 'https://tpc.googlesyndication.com/safeframe/1-0-36/js/ext.js', 'https://securepubads.g.doubleclick.net/pcs/view?xai=AKAOjsuSnBlsKdnsjN2DALvEXmWUSSFWc1L579kX4PhO5zZ64Zxc-W7Q-Im-M53Srnqck8UvrO_M0cvYrTaf6GO9mxEiIoVkWMhqv6xfwCcXvcBbxael7xaf2ibHwV5_StPSV-g77XOaCSm8BOyocrnHOyXvmLTsomL2vUvGpwuoNx4LkW15j8HFMI3tfQztlHZJJZW_7FGS38CEmasyrOn6uM5b9yxnKcPZADkIwBpY7U6m-XZJYYVaYqgCXxBj952KDYlyYTGyn-PCv-LPwFFaAw&sai=AMfl-YRANHnwOHU4llBIJfwZNoGjLgbOqCw6E_CtzkhhtGUcs2xEPdwwlhc7OZr3ZqfHZhwQYMkJPrrRk8zdmEh7Y0iaNV-WIi1h1jgUVi-B&sig=Cg0ArKJSzGDZmJkuNFvIEAE&urlfix=1&adurl=', 'https://secure.adnxs.com/bounce?%2Fpx%3Ft%3D2%26id%3D847154%26seg%3D7690177', 'https://securepubads.g.doubleclick.net/pcs/view?xai=AKAOjsuwBYsfFEKT9Rh4_zOlakGcZPbRH844Ifrgf5x0UoDdXDthRTJvPp24zm4whxyWsFN7Pq0gwNp-e5c2qKOvJ-OVmNH_cYdpau0ZHJWy4XoSjicrMkGMZr_C_n7y8vzkti19tgNN87KDSiC3tX-E0TyVt1Xd8AIPyLytLaOszCCpgh6EvIqeyTa2yNsvssZMkLTl_Kwe5AV_WewTFgx88YoVfORCZr3Hf7SaFd2f7Y3csMLjiHO1MlsPGgn_o1Err0HkewGOtm-qR20-zDU5ig&sig=Cg0ArKJSzKolTYyDKy5jEAE&urlfix=1&adurl=', 'https://pagead2.googlesyndication.com/pagead/gen_204?id=jserror&context=535&msg=SyntaxError%3A%20%22%22%20string%20literal%20contains%20an%20unescaped%20line%20break&eid=453877032&jc=29&useragent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64%3B%20rv%3A69.0)%20Gecko%2F20100101%20Firefox%2F69.0%2Cgzip(gfe)&eids=453877032&es6=true&url=https%3A%2F%2Fwww.walmart.com%2F', 'https://tpc.googlesyndication.com/pagead/imgad?id=CICAgKCnjrn7-QEQARgBMgh-sOEXjApVxA', 'https://tpc.googlesyndication.com/pagead/imgad?id=CICAgKCn9tjQOBABGAEyCBfoXaW2GpY5', 'https://ib.adnxs.com/setuid?entity=305&code=18072662399630277583', 'https://www.google.com/pagead/conversion_async.js', 'https://www.google.com/pagead/conversion_async.js', 'https://securepubads.g.doubleclick.net/gampad/ads?gdfp_req=1&pvsid=1595723097655341&correlator=2188112372446868&output=ldjh&impl=fifs&adsid=NT&eid=21062414%2C21062819&vrg=2019111801&guci=2.2.0.0.2.2.0.0&plat=1%3A537919496%2C2%3A537919496%2C8%3A8&sc=1&sfv=1-0-36&ecs=20191129&iu_parts=55875582%2CWMUS-Mobile%2Chomepage&enc_prev_ius=%2F0%2F1%2F2&prev_iu_szs=320x50&fluid=height&prev_scp=location%3Dtwocolumnhp%26newyork%3Dy%26adUuid%3Dsponsored-container-full-2-gpt-4cba4f73-6de3-489b-809e-013061383300%26zipCode%3D27606&eri=1&cust_params=pageViewId%3Ddfd8e118-656d-4b4d-9be2-c050a0957c2d%26vtc%3DStTl_AEgbfcKEYhCKWa8xk%26vtcBucket%3D0%26login%3Dno%26ptype%3Dhomepage%26ScreenType%3DTablet&cookie=ID%3D31f1e5dd9ddb2337%3AT%3D1575060932%3AS%3DALNI_MZsE1uShexExvgc8lkVxonqse7pfQ&cookie_enabled=1&uule=a%20cm9sZToxIHByb2R1Y2VyOjEyIGxvYzoiMjc2MDYi&bc=29&abxe=1&lmt=1575060897&dt=1575060971840&dlt=1575060897590&idt=27702&frm=20&biw=725&bih=502&oid=3&adxs=8&adys=3240&adks=1487345317&ucis=4&ifi=3&u_tz=-300&u_his=1&u_h=600&u_w=800&u_ah=576&u_aw=735&u_cd=24&u_sd=1&flash=0&url=https%3A%2F%2Fwww.walmart.com%2F&dssz=49&icsg=584260255744&std=15&vis=1&scr_x=0&scr_y=0&psz=709x0&msz=709x0&psts=CisInLDUvRPoAYqEsJiDBIICEL6rlRq2rJUapoK0I46UtCPRAtYyTY0SPLLX%2CCisIkP6-uRPoAcW7v5iDBIICEL6rlRq2rJUapoK0I46UtCPRAlhCZvQyUg3q&ga_vid=2005737206.1575060929&ga_sid=1575060929&ga_hid=1795596066&fws=0&ohw=0']"
8,9,https://www.mercadolivre.com.br/,139,0,50,[]
9,10,https://allegro.pl/,233,9,225,"['https://securepubads.g.doubleclick.net/gpt/pubads_impl_modern_2019111801.js?21065177', 'https://www.google.com/pagead/conversion_async.js', 'https://www.google.com/pagead/conversion_async.js', 'https://googleads.g.doubleclick.net/pagead/viewthroughconversion/1066801593/?random=1575061061897&cv=9&fst=1575061061897&num=1&guid=ON&resp=GooglemKTybQhCsO&u_h=600&u_w=800&u_ah=576&u_aw=735&u_cd=24&u_his=1&u_tz=-300&u_java=false&u_nplug=0&u_nmime=0&gtm=2wgav9&sendb=1&ig=0&frm=0&url=https%3A%2F%2Fallegro.pl%2F&tiba=Black%20Friday%20w%20Allegro%20trwa%20ca%C5%82y%20tydzie%C5%84!&hn=www.google.com&async=1&rfmt=3&fmt=4', 'https://googleads.g.doubleclick.net/pagead/viewthroughconversion/1035506099/?random=1575061062066&cv=9&fst=1575061062066&num=1&guid=ON&resp=GooglemKTybQhCsO&u_h=600&u_w=800&u_ah=576&u_aw=735&u_cd=24&u_his=1&u_tz=-300&u_java=false&u_nplug=0&u_nmime=0&gtm=2wgav9&sendb=1&ig=0&frm=0&url=https%3A%2F%2Fallegro.pl%2F&tiba=Black%20Friday%20w%20Allegro%20trwa%20ca%C5%82y%20tydzie%C5%84!&hn=www.google.com&async=1&rfmt=3&fmt=4', 'https://googleads4.g.doubleclick.net/pcs/view?xai=AKAOjsvX8xpywqfJJOBJlA5WwneEO8TA4mIDWZ3xE6Zw08h3Sh7fs4FFqA3L-q_mLKdIW8ItDb03DpVEpBMpAlFXubIiNv8IYOC_kel4WnlxA0Jisuh0I4ab&sig=Cg0ArKJSzKs7JKJI4WjCEAE&urlfix=1&omid=0&rm=1&ctpt=0&cisv=r20191114&adurl=', 'https://www.google.com/pagead/1p-user-list/1066801593/?random=1575061061897&cv=9&fst=1575057600000&num=1&guid=ON&u_h=600&u_w=800&u_ah=576&u_aw=735&u_cd=24&u_his=1&u_tz=-300&u_java=false&u_nplug=0&u_nmime=0&gtm=2wgav9&sendb=1&frm=0&url=https%3A%2F%2Fallegro.pl%2F&tiba=Black%20Friday%20w%20Allegro%20trwa%20ca%C5%82y%20tydzie%C5%84!&async=1&fmt=3&is_vtc=1&random=2845454820&resp=GooglemKTybQhCsO&rmt_tld=0&ipr=y', 'https://ams.creativecdn.com/tags?id=pr_SOtg92oX2UtDgCnvi25M_aid_{unknown}&id2=pr_SOtg92oX2UtDgCnvi25M_custom_asegment_{1}&id3=pr_SOtg92oX2UtDgCnvi25M_home&tc=1', 'https://www.google.com/pagead/1p-user-list/1035506099/?random=1575061062066&cv=9&fst=1575057600000&num=1&guid=ON&u_h=600&u_w=800&u_ah=576&u_aw=735&u_cd=24&u_his=1&u_tz=-300&u_java=false&u_nplug=0&u_nmime=0&gtm=2wgav9&sendb=1&frm=0&url=https%3A%2F%2Fallegro.pl%2F&tiba=Black%20Friday%20w%20Allegro%20trwa%20ca%C5%82y%20tydzie%C5%84!&async=1&fmt=3&is_vtc=1&random=3611400255&resp=GooglemKTybQhCsO&rmt_tld=0&ipr=y']"
