,visit_id,hostname_site,total_cookies_set,number_third_party_cookies_set,hostname_of_third_party_cookies
0,1,https://www.espn.com/,14,2,"{'https://www.demdex.net', 'https://www.bluekai.com'}"
1,2,https://www.paypal.com/us/home,19,2,"{'https://www.paypalobjects.com', 'https://www.abmr.net'}"
2,3,https://www.indeed.com/,21,2,"{'https://www.google.com', 'https://www.scorecardresearch.com'}"
3,4,https://www.chase.com/,26,8,"{'https://www.pippio.com', 'https://www.doubleclick.net', 'https://www.www.linkedin.com', 'https://www.linkedin.com', 'https://www.rlcdn.com', 'https://www.twitter.com', 'https://www.ads.linkedin.com', 'https://www.facebook.com'}"
4,5,https://www.shutterstock.com/,2,0,set()
5,6,https://www.alibaba.com/?from_http=1,45,3,"{'https://www.us.ynuf.aliapp.org', 'https://www.alicdn.com', 'https://www.mmstat.com'}"
6,7,https://www.scribd.com/,23,4,"{'https://www.bing.com', 'https://www.doubleclick.net', 'https://www.google.com', 'https://www.bat.bing.com'}"
7,8,https://www.forbes.com/#3e130ed52254,114,35,"{'https://www.bidswitch.net', 'https://www.bh.contextweb.com', 'https://www.rfihub.com', 'https://www.contextweb.com', 'https://www.doubleclick.net', 'https://www.dotomi.com', 'https://www.1rx.io', 'https://www.bttrack.com', 'https://www.districtm.io', 'https://www.everesttech.net', 'https://www.cdn.districtm.io', 'https://www.rubiconproject.com', 'https://www.w55c.net', 'https://www.bluekai.com', 'https://www.zemanta.com', 'https://www.scorecardresearch.com', 'https://www.yahoo.com', 'https://www.lijit.com', 'https://www.secure-assets.rubiconproject.com', 'https://www.go.sonobi.com', 'https://www.aaxads.com', 'https://www.turn.com', 'https://www.eus.rubiconproject.com', 'https://www.mobileadtrading.com', 'https://www.adblade.com', 'https://www.sharethrough.com', 'https://www.id.sharedid.org', 'https://www.openx.net', 'https://www.emxdgt.com', 'https://www.adnxs.com', 'https://www.mfadsrvr.com', 'https://www.mathtag.com', 'https://www.adsrvr.org', 'https://www.rlcdn.com', 'https://www.media.net'}"
8,9,https://www.zillow.com/,37,10,"{'https://www.google.com', 'https://www.bing.com', 'https://www.doubleclick.net', 'https://www.krxd.net', 'https://www.bat.bing.com', 'https://www.scorecardresearch.com', 'https://www.collector-pxhyx10rg3.perimeterx.net', 'https://www.ispot.tv', 'https://www.zg-api.com', 'https://www.facebook.com'}"
9,10,https://www.hdfcbank.com/,3,0,set()
10,11,https://finance.yahoo.com/,1,0,set()
11,12,https://www.businessinsider.com/,61,20,"{'https://www.ml314.com', 'https://www.npttech.com', 'https://www.rubiconproject.com', 'https://www.in.ml314.com', 'https://www.bluekai.com', 'https://www.exelator.com', 'https://www.scorecardresearch.com', 'https://www.crwdcntrl.net', 'https://www.ads.linkedin.com', 'https://www.www.linkedin.com', 'https://www.permutive.com', 'https://www.tinypass.com', 'https://www.onesignal.com', 'https://www.linkedin.com', 'https://www.facebook.com', 'https://www.krxd.net', 'https://www.ps.eyeota.net', 'https://www.eyeota.net', 'https://www.mathtag.com', 'https://www.rlcdn.com'}"
12,13,https://www.wellsfargo.com/,50,3,"{'https://www.demdex.net', 'https://www.doubleclick.net', 'https://www.facebook.com'}"
13,14,https://www.icicibank.com/,59,8,"{'https://www.adsymptotic.com', 'https://www.www.linkedin.com', 'https://www.doubleclick.net', 'https://www.linkedin.com', 'https://www.icici.nanorep.co', 'https://www.ads.linkedin.com', 'https://www.nanorep.co', 'https://www.facebook.com'}"
14,15,https://www.capitalone.com/,34,5,"{'https://www.secure.capitalone360.com', 'https://www.demdex.net', 'https://www.dpm.demdex.net', 'https://www.everesttech.net', 'https://www.nr-data.net'}"
15,16,https://www.skype.com/en/,8,2,"{'https://www.login.live.com', 'https://www.microsoft.com'}"
16,17,https://www.americanexpress.com/,56,2,"{'https://www.demdex.net', 'https://www.doubleclick.net'}"
17,18,https://www.behance.net/,10,2,"{'https://www.adobe.com', 'https://www.adobeid-na1.services.adobe.com'}"
18,19,https://www.ups.com/us/en/global.page,107,20,"{'https://www.c.bing.com', 'https://www.demdex.net', 'https://www.doubleclick.net', 'https://www.pubmatic.com', 'https://www.everesttech.net', 'https://www.bs.serving-sys.com', 'https://www.undertone.com', 'https://www.rubiconproject.com', 'https://www.image2.pubmatic.com', 'https://www.dpm.demdex.net', 'https://www.serving-sys.com', 'https://www.bidr.io', 'https://www.facebook.com', 'https://www.revjet.com', 'https://www.bing.com', 'https://www.spotxchange.com', 'https://www.openx.net', 'https://www.casalemedia.com', 'https://www.adnxs.com', 'https://www.adsrvr.org'}"
19,20,https://www.samsung.com/us/,44,4,"{'https://www.chatbot.ecom-mobile-samsung.com', 'https://www.demdex.net', 'https://www.rlcdn.com', 'https://www.nr-data.net'}"
