,visit_id,hostname_site,total_requests,no_blocked_requests,no_third_party_requests,blocked_urls
0,1,https://www.harvard.edu/,82,2,36,"['https://static.doubleclick.net/instream/ad_status.js', 'https://googleads.g.doubleclick.net/pagead/id?slf_rd=1']"
1,2,https://www.princeton.edu/,61,0,8,[]
2,3,http://www.mit.edu/,38,3,20,"['https://static.doubleclick.net/instream/ad_status.js', 'https://googleads.g.doubleclick.net/pagead/id?slf_rd=1', 'https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-1592615-30&cid=1907385841.1575062453&jid=919318599&_gid=393742663.1575062453&gjid=1717791531&_v=j79&z=367700641']"
3,4,https://www.yale.edu/,46,1,8,['https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-991898-23&cid=1786453813.1575062504&jid=1226753804&_gid=612724205.1575062504&gjid=2001109675&_v=j79&z=1721617957']
4,5,https://www.caltech.edu/,142,0,110,[]
5,6,https://www.stanford.edu/,58,1,14,['https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-1860414-1&cid=1815535689.1575062522&jid=1475610665&_gid=1997536582.1575062522&gjid=1101982082&_v=j79&z=944805999']
6,7,https://www.uchicago.edu/,101,3,78,"['https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-3572058-1&cid=390989678.1575062547&jid=1021060922&_gid=309651055.1575062547&gjid=1206004817&_v=j79&z=856933441', 'https://static.doubleclick.net/instream/ad_status.js', 'https://googleads.g.doubleclick.net/pagead/id?slf_rd=1']"
7,8,https://www.columbia.edu/,73,2,23,"['https://z.moatads.com/addthismoatframe568911941483/moatframe.js', 'https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-18290390-1&cid=1170115221.1575062586&jid=1384368036&_gid=21075036.1575062586&gjid=1658869492&_v=j79&z=1188549567']"
8,9,https://www.upenn.edu/,43,1,9,['https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-78054-1&cid=1823415920.1575062609&jid=1707918651&_gid=588589276.1575062609&gjid=1778366102&_v=j79&z=747806699']
9,10,https://www.cornell.edu/,144,1,20,['https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-1628162-1&cid=1208633654.1575062682&jid=1867254178&_v=5.7.2&z=735834109']
10,11,https://www.berkeley.edu/,62,0,33,[]
11,12,https://www.duke.edu/,36,0,12,[]
12,13,https://www.jhu.edu/,79,1,13,['https://static.ads-twitter.com/uwt.js']
13,14,https://www.northwestern.edu/,46,1,5,['https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-5958450-43&cid=1552528816.1575062760&jid=215427634&_gid=190338407.1575062760&gjid=111636790&_v=j79&z=669201635']
14,15,http://www.ucla.edu/,58,3,20,"['https://stats.g.doubleclick.net/r/collect?t=dc&aip=1&_r=3&v=1&_v=j79&tid=UA-423028-6&cid=662064797.1575062768&jid=101991159&gjid=81094706&_gid=564344661.1575062768&_u=aGDAiEATB~&z=2055448678', 'https://stats.g.doubleclick.net/r/collect?t=dc&aip=1&_r=3&v=1&_v=j79&tid=UA-35157935-1&cid=662064797.1575062768&jid=1223571543&gjid=2045257337&_gid=564344661.1575062768&_u=aGDAiEATB~&z=210832283', 'http://cse.google.com/adsense/search/async-ads.js']"
15,16,https://www.annarbor.org/university-of-michigan/,97,0,35,[]
16,17,https://www.cmu.edu/,47,0,9,[]
17,18,https://www.ucsd.edu/,74,1,18,['https://sjs.bizographics.com/insight.min.js']
18,19,https://www.brown.edu/,107,0,4,[]
19,20,https://www.wisc.edu/,47,0,9,[]
20,21,https://www.nyu.edu/,91,0,9,[]
21,22,https://www.vanderbilt.edu/,94,2,36,"['https://static.doubleclick.net/instream/ad_status.js', 'https://googleads.g.doubleclick.net/pagead/id?slf_rd=1']"
22,23,http://www.washington.edu/,46,0,23,[]
23,24,https://illinois.edu/,115,0,43,[]
24,25,https://wustl.edu/,68,0,16,[]
25,26,https://home.dartmouth.edu/,86,1,6,['https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-17623200-1&cid=1134663865.1575063032&jid=1759268781&_gid=1588559343.1575063032&gjid=1755180012&_v=j79&z=1995190964']
26,27,https://www.utexas.edu/,58,0,16,[]
27,28,https://www.rice.edu/,109,1,72,['https://cse.google.com/adsense/search/async-ads.js']
